"Type (Control=0, Stress=1)",Beta power,"Anxiety (Low=0, High=1)",,,,,,,,Participant number
0,-0.327980013004362,0,,,,,,,,2
0,-0.604240211110774,0,,,,,,,,2
0,-0.214063254072614,0,,,,,,,,2
0,-0.423752000600056,0,,,,,,,,2
0,-0.56463017493262,0,,,,,,,,2
0,0.114402021816921,0,,,,,,,,2
0,-0.201583444681048,0,,,,,,,,2
0,-0.443443262516976,0,,,,,,,,2
0,-0.661577809785659,0,,,,,,,,2
0,-0.630326457429538,0,,,,,,,,2
0,-0.225295685319445,0,,,,,,,,2
0,-0.025080275342833,0,,,,,,,,2
0,-0.657225854413199,0,,,,,,,,2
0,-0.621554329135306,0,,,,,,,,2
0,-0.138638222499609,0,,,,,,,,2
0,-0.435467426133947,0,,,,,,,,2
0,-0.426633434846385,0,,,,,,,,2
0,-0.468022159948529,0,,,,,,,,2
0,-0.385179702344851,0,,,,,,,,2
0,-0.220259670917895,0,,,,,,,,2
0,-0.803280464303148,0,,,,,,,,2
0,-0.349078026272109,0,,,,,,,,2
0,-0.474715459470515,0,,,,,,,,2
0,-0.14882021846615,0,,,,,,,,2
0,-0.754017840104526,0,,,,,,,,2
0,-0.298358376225407,0,,,,,,,,2
0,-0.239141603676156,0,,,,,,,,2
0,-0.614638378077981,0,,,,,,,,2
0,-0.30812156307641,0,,,,,,,,2
0,-0.786172897540352,0,,,,,,,,2
0,-0.50109701607043,0,,,,,,,,2
0,-0.81709906062754,0,,,,,,,,2
0,-0.239172515636175,0,,,,,,,,2
0,-0.535852086451708,0,,,,,,,,2
0,-0.594936058532088,0,,,,,,,,2
0,-0.328180949080406,0,,,,,,,,2
0,-0.644050712080663,0,,,,,,,,2
0,-0.262147755947443,0,,,,,,,,2
0,-0.640965471081872,0,,,,,,,,2
0,-0.369921981142363,0,,,,,,,,2
0,-0.664903531819207,0,,,,,,,,2
0,-0.517724325277875,0,,,,,,,,2
0,-0.62249955452652,0,,,,,,,,2
0,-0.510645021640038,0,,,,,,,,2
0,-0.711007381233964,0,,,,,,,,2
0,0.342631268702794,0,,,,,,,,2
0,-0.582632893307852,0,,,,,,,,2
0,-0.553272779728989,0,,,,,,,,2
0,-0.658220472287165,0,,,,,,,,2
0,-0.425587991597066,0,,,,,,,,2
0,-0.07243213069603,0,,,,,,,,2
0,-0.752582407000428,0,,,,,,,,2
0,-0.304975737538565,0,,,,,,,,2
0,-0.58502201584536,0,,,,,,,,2
0,-0.954608640811602,0,,,,,,,,2
0,-0.815955363338338,0,,,,,,,,2
0,-0.755274684620067,0,,,,,,,,3
0,-0.318392684795035,0,,,,,,,,3
0,-0.255265546753474,0,,,,,,,,3
0,-0.685999212584345,0,,,,,,,,3
0,-0.681787405947638,0,,,,,,,,3
0,-0.527487773698025,0,,,,,,,,3
0,-0.614738588113315,0,,,,,,,,3
0,-0.803596231632645,0,,,,,,,,3
0,-0.690846785990605,0,,,,,,,,3
0,-0.794107817383297,0,,,,,,,,3
0,-0.470050022565032,0,,,,,,,,3
0,-0.559004585633257,0,,,,,,,,3
0,-0.565207322307151,0,,,,,,,,3
0,-0.582858654254978,0,,,,,,,,3
0,-0.594178965254377,0,,,,,,,,3
0,-0.512521761523659,0,,,,,,,,3
0,-0.774575054390967,0,,,,,,,,3
0,-0.634229692683638,0,,,,,,,,3
0,-0.38066687751215,0,,,,,,,,3
0,-0.2652822079413,0,,,,,,,,3
0,-0.5846576975303,0,,,,,,,,3
0,-0.75299712426539,0,,,,,,,,3
0,-0.651577456004934,0,,,,,,,,3
0,-0.700381906162469,0,,,,,,,,3
0,0.341531458677818,0,,,,,,,,3
0,-0.418502818715763,0,,,,,,,,3
0,-0.576988212230693,0,,,,,,,,3
0,0.143277064431398,0,,,,,,,,3
0,-0.53312333400179,0,,,,,,,,3
0,-0.876578429333469,0,,,,,,,,3
0,-0.468564998300597,0,,,,,,,,3
0,-0.785377424474872,0,,,,,,,,3
0,0.036564414251431,0,,,,,,,,3
0,-0.665765778445437,0,,,,,,,,3
0,-0.700333890030627,0,,,,,,,,3
0,-0.267623534030974,0,,,,,,,,3
0,-0.599668186668772,0,,,,,,,,3
0,-0.837621633710112,0,,,,,,,,3
0,-0.687651678862834,0,,,,,,,,3
0,-0.422061000259453,0,,,,,,,,3
0,0.174731081978125,0,,,,,,,,3
0,-0.210976496613585,0,,,,,,,,3
0,0.328751405557818,0,,,,,,,,3
0,-0.293295193636636,0,,,,,,,,3
0,-0.463913470735706,0,,,,,,,,3
0,-0.357335450013971,0,,,,,,,,3
0,0.321429470576706,0,,,,,,,,3
0,0.236448746636334,0,,,,,,,,3
0,0.246180648862954,0,,,,,,,,3
0,0.13976634727157,0,,,,,,,,3
0,-0.281486523434913,0,,,,,,,,3
0,-0.4459121747004,0,,,,,,,,3
0,0.465493867869469,0,,,,,,,,3
0,0.0225504446834,0,,,,,,,,3
0,-0.339554326357389,0,,,,,,,,3
0,-0.882401487244209,0,,,,,,,,3
0,-0.568639727972449,0,,,,,,,,3
0,-0.578626087173223,0,,,,,,,,3
0,-0.905338421403919,0,,,,,,,,3
0,-0.543291676646899,0,,,,,,,,3
0,-0.750584826589464,0,,,,,,,,3
0,-0.810968734848374,0,,,,,,,,3
0,-0.68671116349469,0,,,,,,,,3
0,-0.687788751520488,0,,,,,,,,3
0,-0.282982289878051,0,,,,,,,,3
0,-0.695866083312993,0,,,,,,,,3
0,-0.489704135625001,0,,,,,,,,3
0,-0.722657593277893,0,,,,,,,,3
0,-0.112304887254469,0,,,,,,,,3
0,-0.406400047997787,0,,,,,,,,3
0,-0.624333269020543,0,,,,,,,,3
0,-0.403127253454382,0,,,,,,,,3
0,-0.781756599355749,0,,,,,,,,3
0,-0.566934374119031,0,,,,,,,,3
0,-0.425053470225925,0,,,,,,,,3
0,0.061980494370111,0,,,,,,,,3
0,-0.601320665260996,0,,,,,,,,3
0,-0.266711698494848,0,,,,,,,,3
0,-0.49179508669148,0,,,,,,,,3
0,-0.369514378564026,0,,,,,,,,3
0,0.75439373081661,0,,,,,,,,3
0,0.084341406961571,0,,,,,,,,3
0,-0.41522486976373,0,,,,,,,,3
0,0.078148008173625,0,,,,,,,,3
0,-0.095984321867326,0,,,,,,,,3
0,0.468671792765834,0,,,,,,,,3
0,-0.11912944048627,0,,,,,,,,3
0,-0.312893405537247,0,,,,,,,,3
0,0.004472394121007,0,,,,,,,,3
0,-0.52074315913637,0,,,,,,,,3
0,-0.117428466271045,0,,,,,,,,4
0,-0.29292746820043,0,,,,,,,,4
0,0.227263373995682,0,,,,,,,,4
0,-0.303698852043255,0,,,,,,,,4
0,-0.21818200739581,0,,,,,,,,4
0,-0.247293379992516,0,,,,,,,,4
0,-0.22913706789887,0,,,,,,,,4
0,-0.015322419583912,0,,,,,,,,4
0,-0.072628313180355,0,,,,,,,,4
0,-0.18088349469821,0,,,,,,,,4
0,-0.130934777169453,0,,,,,,,,4
0,-0.179931257105271,0,,,,,,,,4
0,0.236090043351089,0,,,,,,,,4
0,-0.082811526622082,0,,,,,,,,4
0,-0.117175784057404,0,,,,,,,,4
0,-0.255576100922525,0,,,,,,,,4
0,-0.169621813632086,0,,,,,,,,4
0,-0.065481826321631,0,,,,,,,,4
0,-0.128383629054031,0,,,,,,,,4
0,-0.269316636899836,0,,,,,,,,4
0,0.046620428370505,0,,,,,,,,4
0,-0.008110800207948,0,,,,,,,,4
0,-0.099463062034791,0,,,,,,,,4
0,-0.021677036540992,0,,,,,,,,4
0,-0.278885809184426,0,,,,,,,,4
0,-0.228473168277748,0,,,,,,,,4
0,-0.235147873737108,0,,,,,,,,4
0,-0.156153471601615,0,,,,,,,,4
0,0.039914766850623,0,,,,,,,,4
0,0.510934728349653,0,,,,,,,,4
0,-0.32946741521714,0,,,,,,,,4
0,-0.099797296255798,0,,,,,,,,4
0,-0.093587040667439,0,,,,,,,,4
0,-0.205023917142642,0,,,,,,,,4
0,-0.113366134046046,0,,,,,,,,4
0,-0.269674054587,0,,,,,,,,4
0,0.064471181312924,0,,,,,,,,4
0,-0.385775533493398,0,,,,,,,,4
0,-0.139923546763491,0,,,,,,,,4
0,-0.202518034196963,0,,,,,,,,4
0,0.0786094246632,0,,,,,,,,4
0,-0.168792963505826,0,,,,,,,,4
0,0.182698316401012,0,,,,,,,,4
0,0.110174972820811,0,,,,,,,,4
0,-0.062364625887068,0,,,,,,,,4
